OriginalPath,Filename,Type,Hardmode,FriendlyName,Silent,Wait,DetectionMethod,Detection,HardmodeDetectionType,HardmodeDetection,Hardmode2DetectionType,Hardmode2Detection,Forcewait
"C:\temp\programs\unauthorized\OperaGXSetup.exe","OperaGXSetup.exe","unauthorized","No","Opera GX","/Silent /ALLUSERS=1 /Launchopera=0 /Desktopshortcut=0","NoWait","File","C:\Program Files\Opera GX\opera.exe","Folder","C:\Program Files\Opera GX",,"",""
C:\temp\programs\malware\bitlord-2.4-win32-silent-setup-ver363.exe,bitlord-2.4-win32-silent-setup-ver363.exe,malware,No,Bitlord,/silent,Wait,RegistryKey,HKLM:\SOFTWARE\WOW6432Node\Microsoft\Windows\CurrentVersion\Uninstall\BitLord,,,,,
C:\temp\programs\malware\SHAREit.exe,SHAREit.exe,malware,No,SHAREit,/Silent /ALLUSERS=1,NoWait,RegistryKey,HKLM:\SOFTWARE\WOW6432Node\Microsoft\Windows\CurrentVersion\Uninstall\www.ushareit.com_is1,,,,,Yes
,CacheNotClear.txt,Tempfiles,,Edge Cache File,,,FileExistence,C:\Users\Cyberadmin\AppData\Local\Microsoft\Edge\User Data\Default\Cache\CacheNotClear.txt,,,,,
,MinimumPasswordLength,PasswordPolicy,,Minimum Password Length,,,Policy,8,,,,,
,MaximumPasswordAge,PasswordPolicy,,Maximum Password Age,,,Policy,84,,,,,
,MinimumPasswordAge,PasswordPolicy,,Minimum Password Age,,,Policy,1,,,,,
,LockoutDuration,PasswordPolicy,,Account Lockout Duration,,,Policy,25,,,,,
,LockoutThreshold,PasswordPolicy,,Account Lockout Threshold,,,Policy,3,,,,,
,LockoutWindow,PasswordPolicy,,Lockout observation window,,,Policy,24,,,,,
,ComplexityRequirements,PasswordPolicy,,Password Complexity Requirements,,,Policy,Enabled,,,,,
,Microsoft Compatibility Telemetry,ScheduledTask,,Microsoft Compatibility Telemetry,,,ScheduledTask,Microsoft Compatibility Telemetry,,,,,
,GoogleUpdateTaskMachineCore,ScheduledTask,,GoogleUpdateTaskMachineCore,,,ScheduledTask,GoogleUpdateTaskMachineCore,,,,,
